name,bio
Caio Fernando Abreu,"Caio Fernando Loureiro de Abreu (September 12, 1948 – February 25, 1996), best known as Caio Fernando Abreu, was one of the most influential and original Brazilian writers of the 1970s and 1980s. Caio F., as he habitually signed his letters, was born in  in the state of  in 1948, and died in  in 1996.
"
Barry D. Adam,"Barry Douglas Adam (born 1952 in , ) is Distinguished University Professor Emeritus of Sociology at the  and from 2008 to 2019, Senior Scientist at the Ontario HIV Treatment Network  in Toronto. Educated at  (BAHon 1972) and the  (PhD 1977), he is the author of: The Survival of Domination, The Rise of a Gay and Lesbian Movement (1978, revised 1995), and with Alan Sears, Experiencing HIV. He later co-edited The Global Emergence of Gay and Lesbian Politics (1999). He has an extensive research record on the dynamics of domination and empowerment, LGBT studies, HIV prevention, and issues of living with HIV and , and was a co-founder of the AIDS Committee of Windsor, .
"
Evan Adams,"Evan Tlesla Adams (born November 15, 1966) is an  actor, playwright, and . A  from the  near , he is best known internationally for his roles in the films of , as Thomas Builds-the-Fire in the 1998 film  and Seymour Polatkin in the 2002 film .
"
Nathan Niigan Noodin Adler,"Nathan Niigan Noodin Adler, sometimes credited as Nathan Adler, is a  writer of horror fiction. He is most noted for his 2020 short story collection Ghost Lake, which was the winner in the English fiction category at the 2021 .
"
Etel Adnan,"Etel Adnan (: إيتيل عدنان‎; born 24 February 1925 in , ) is a Lebanese-American , essayist, and . In 2003, Adnan was named ""arguably the most celebrated and accomplished  author writing today"" by the academic journal .
"
Will Aitken,"Will Aitken is an American-Canadian novelist, journalist and film critic. Originally from , he has been based in ,  since moving to that city to attend  in 1972.
"
Magaly Alabau,"Magali Alabau (born 1945) is a  poet, theater director, and actor. Born in , , she has lived in  since 1966. She co-founded the Spanish-English ensemble Teatro Dúo/Duo Theatre with  and the lesbian theater Medusa's Revenge with . She began writing poetry after retiring from theater, and published eight books between 1986 and 2015.
"
Francisco X. Alarcón,"Francisco Xavier Alarcón (21 February 1954 – 15 January 2016) was a  poet and educator. He was one of the few Chicano poets to have ""gained recognition while writing mostly in Spanish"" within the United States. His poems have been also translated into  and  He made many guest appearances at public schools so that he could help inspire and influence young people to write their own poetry especially because he felt that children are ""natural poets.""
"
Edward Albee,"
"
Mohamed Abdulkarim Ali,"Mohamed Abdulkarim Ali is a - writer.  Ali wrote his first book, a memoir, , while living in a shelter for homeless men in Toronto.
"
Sandra Alland,"Sandra Alland is a -based  writer, interdisciplinary artist,  publisher, performer, filmmaker, and curator. Alland's work focuses on social justice, language, humour, and experimental forms.
"
Kimball Allen,"Kimball Allen (born February 22, 1982) is an American writer, journalist, playwright, and actor. He is the author of two autobiographical one-man plays: Secrets of a Gay Mormon Felon (2012) and Be Happy Be Mormon (2014). The latter premiered at  in Manhattan on September 24 and 27, 2014, as part of the . From 2015–2017 he hosted the recurring Triple Threat w/ Kimball Allen, a 90-minute variety talk show at  in .
"
Paula Gunn Allen,"Paula Gunn Allen (October 24, 1939 – May 29, 2008) was a  , , activist, , and . Of  European-American, Native American, and  descent, she identified with her mother's people, the  and childhood years. She drew from its oral traditions for her fiction poetry and also wrote numerous essays on its themes. She edited four collections of Native American traditional stories and contemporary works and wrote two biographies of Native American women.
"
Dorothy Allison,"Dorothy Allison (born April 11, 1949) is an American writer from South Carolina whose writing focuses on , , ,  and . She is a self-identified lesbian . Allison has won a number of awards for her writing, including several . In 2014, Allison was elected to membership in the .
"
Anne-Marie Alonzo,"Anne-Marie Alonzo,  (December 13, 1951 – June 11, 2005) was a  playwright, poet, novelist, critic and publisher.
"
Lisa Alther,"
Lisa Alther (born July 23, 1944) is an American  and .
"
Rebecca Alpert,"Rabbi Rebecca Trachtenberg Alpert (born April 12, 1950) is an American professor of Jewish American religious history, and was one of the first congregational women rabbis. Her chief speciality is sexuality in Judaism, and she says that her beliefs were transformed by a Sabbath prayer book (Siddur Nashim) that refers to God as 'She'.
"
Hilton Als,"Hilton Als (born 1960) is an American writer and theater critic. He is an associate professor of writing at  and a staff writer and theater critic for  magazine. He is a former staff writer for  and former editor-at-large at  magazine.
"
Noel Alumit,"Noël Alumit (born January 8, 1968) is an American , , and . He was identified as one of the Top 100 Influential Gay People by  in 2002.
"
Gordon Stewart Anderson,"Gordon Stewart Anderson (1958 – July 8, 1991) was a Canadian writer, whose novel The Toronto You Are Leaving was published by his mother 15 years after his death.
"
Debra Anderson,"
"
Patrick Anderson,"
"
Albalucía Angel,"Albalucía Ángel Marulanda (born in , 27 September 1939) is a  writer, folksinger, and novelist of the . She is known as a pioneer of Latin American  for her novels.
"
Núria Añó,"
"
