,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
0,Will Aitken,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/231,b. ?,American-Canadian,"novelist, film critic","Terre Haute, Realia",[6]
1,Edward Albee,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/247,1928–2016,American,playwright,Who's Afraid of Virginia Woolf?,[9]
2,Lisa Alther,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/467,b. 1944,American,novelist,Stormy Weather & Other Stories; Blood Feud: The Hatfields and the McCoys: The Epic Story of Murder and Vengeance; Washed in the Blood; Kinflicks: A Novel,[9]
3,Lisa Alther,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2197666,b. 1944,American,novelist,Stormy Weather & Other Stories; Blood Feud: The Hatfields and the McCoys: The Epic Story of Murder and Vengeance; Washed in the Blood; Kinflicks: A Novel,[9]
4,Patrick Anderson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/621,1915-1979,English/Canadian,poet,Return to Canada,[6][18]
5,Reinaldo Arenas,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/795,1943–1990,Cuban,"poet, novelist and playwright",Before Night Falls,[8][9]
6,John Ashbery,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/907,1927-2017,American,poetry,Self-Portrait in a Convex Mirror,[9]
7,John Ashbery,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111248,1927-2017,American,poetry,Self-Portrait in a Convex Mirror,[9]
8,John Ashbery,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2121193,1927-2017,American,poetry,Self-Portrait in a Convex Mirror,[9]
9,W. H. Auden,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/1020,1907–1973,English,poetry,"""Funeral Blues"" (poem)",[9]
10,W. H. Auden,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/71527,1907–1973,English,poetry,"""Funeral Blues"" (poem)",[9]
11,W. H. Auden,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111218,1907–1973,English,poetry,"""Funeral Blues"" (poem)",[9]
12,W. H. Auden,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2075743,1907–1973,English,poetry,"""Funeral Blues"" (poem)",[9]
13,W. H. Auden,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2075744,1907–1973,English,poetry,"""Funeral Blues"" (poem)",[9]
14,James Baldwin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/1261,1924–1987,American,"poet, playwright, novelist",Giovanni's Room,[9]
15,James Baldwin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/120046,1924–1987,American,"poet, playwright, novelist",Giovanni's Room,[9]
16,James Baldwin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/223941,1924–1987,American,"poet, playwright, novelist",Giovanni's Room,[9]
17,James Baldwin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2121303,1924–1987,American,"poet, playwright, novelist",Giovanni's Room,[9]
18,John Barton,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/1565,b. 1957,Canadian,poet,"West of Darkness: Emily Carr, self-portrait (2nd ed.)",[42]
19,John Barton,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199997,b. 1957,Canadian,poet,"West of Darkness: Emily Carr, self-portrait (2nd ed.)",[42]
20,John Barton,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2200007,b. 1957,Canadian,poet,"West of Darkness: Emily Carr, self-portrait (2nd ed.)",[42]
