Name,Lifetime,Nationality,Genre,Notable works,References
Caio Fernando Abreu,1948-1996,Brazilian,"short stories, plays","Morangos Mofados, dragões não conhecem o paraíso",[1]
Barry D. Adam,b. 1952,Canadian,scholar,"The Rise of a Gay and Lesbian Movement, The Global Emergence of Gay and Lesbian Politics",[2]
Evan Adams,b. 1966,Canadian,playwright,"Dreams of Sheep, Snapshots, Dirty Dog River and Janice's Christmas",[3]
Nathan Niigan Noodin Adler,b. ?,Canadian,horror,"Wrist, Ghost Lake",[4]
Etel Adnan,b. 1925,Lebanese-American,poet,Sea and Fog,[5]
Will Aitken,b. ?,American-Canadian,"novelist, film critic","Terre Haute, Realia",[6]
Magaly Alabau,b. 1945,Cuban American,poetry,Electra y Clitemnestra. Poema,[7]
Francisco X. Alarcón,b. 1954,Chicano,poetry,"From the Belly Button of the Moon: And Other Summer Poems, Poems to Dream Together = Poemas para soñar juntos",[8]
Edward Albee,1928–2016,American,playwright,Who's Afraid of Virginia Woolf?,[9]
Mohamed Abdulkarim Ali,b. 1985,Canadian,memoirist,Angry Queer Somali Boy,[10]
Sandra Alland,b. 1973,Canadian,"poetry, fiction",The Mathematics of Love,[11]
Kimball Allen,b. 1982,American,"playwright, performer, gay activist",Secrets of a Gay Mormon Felon Be Happy Be Mormon,[12]
Paula Gunn Allen,1939–2008,Native American,"poet, literary critic",As Long as the Rivers Flow: The Stories of Nine Native Americans,[9]
Dorothy Allison,b. 1949,American,novelist,Bastard Out of Carolina,[9]
Anne-Marie Alonzo,1951-2005,Canadian,"poetry, fiction, drama",Bleus de mine,[6]
Lisa Alther,b. 1944,American,novelist,Stormy Weather & Other Stories; Blood Feud: The Hatfields and the McCoys: The Epic Story of Murder and Vengeance; Washed in the Blood; Kinflicks: A Novel,[9]
Rebecca Alpert,b. 1950,American,professor of Jewish American religious history,Lesbian Rabbis: The First Generation,[13]
Hilton Als,b. 1960,American,"writer, theatre critic",White Girls,[14]
Noel Alumit,b. 1968,Filipino-American,"playwright, novelist","Mr. and Mrs. La Questa Go Dancing, Letters to Montgomery Clift",[15]
Gordon Stewart Anderson,1958-1991,Canadian,novelist,The Toronto You Are Leaving,[16]
Debra Anderson,b. ?,Canadian,"novelist, playwright",Code White,[17]
Patrick Anderson,1915-1979,English/Canadian,poet,Return to Canada,[6][18]
Albalucía Angel,b. 1939,Colombian,folksinger and novelist,Girasoles en Invierno,[8]
Núria Añó,b. 1973,Spanish,novelist,Lowering Clouds,[19]
Trey Anthony,b. 1983,Canadian,playwright,Da Kink in My Hair,[20]
Salvatore Antonio,b. 1976,Canadian,playwright,In Gabriel's Kitchen,[21]
Gloria Anzaldúa,1942–2004,Chicana,scholar of Chicana cultural theory,Borderlands/La Frontera: The New Mestiza,[8][22]
Bert Archer,b. 1968,Canadian,"journalist, critic",The End of Gay (and the death of heterosexuality),[23]
Reinaldo Arenas,1943–1990,Cuban,"poet, novelist and playwright",Before Night Falls,[8][9]
Rafael Arévalo Martínez,1884–1975,Guatemalan,"novelist, short-story writer, poet",Las rosas de Engaddi,[8]
Lawrence Aronovitch,b. 1974,Canadian,playwright,"The Lavender Railroad, Galatea",[24]
Rane Arroyo,b. 1954,Puerto Rican,poetry,Pale Ramón,[8][25]
Yolanda Arroyo Pizarro,b. 1970,Puerto Rican,"novel, short story, essay","TRANScaribeñx, Las Negras",[26]
John Ashbery,1927-2017,American,poetry,Self-Portrait in a Convex Mirror,[9]
Damien Atkins,b. 1975,Canadian,playwright,"Real Live Girl, Lucy, The Gay Heritage Project",[27]
W. H. Auden,1907–1973,English,poetry,"""Funeral Blues"" (poem)",[9]
Ellis Avery,1972–2019,American,novelist,"The Teahouse Fire, The Last Nude",[28]
Manuel Azaña,1880–1940,Spanish,intellectual and politician,La velada en Benicarló,[9]
Cheryl B,1972-2011,American,"poet, autobiographer",My Awesome Place: The Autobiography of Cheryl B,[29]
Mette Bach,b. ?,Canadian,"author, teacher, screenwriter, and director",Off the Highway,[30]
Sir Francis Bacon,1561–1626,English,"essayist, novelist",The Advancement and Proficience of Learning Divine and Human (1605),[9]
Bruce Bagemihl,b. ?,Canadian,scientist,Biological Exuberance: Animal Homosexuality and Natural Diversity,[31]
Bilal Baig,b. ?,Canadian,"playwright, actor",Acha Bacha,[32]
James Robert Baker,1946–1997,American,novelist,"Boy Wonder, Tim and Pete",[33]
John Roman Baker,b. 1944,English,"poet, playwright, novelist",Crying Celibate Tears,[34][35]
James Baldwin,1924–1987,American,"poet, playwright, novelist",Giovanni's Room,[9]
Honoré de Balzac,1799–1850,French,novelist,La Comédie humaine,[9]
Victor J. Banis,b. 1937,American,novelist,The Man from C.A.M.P.,[36]
Keith Banner,b. ?,American,"novelist, short stories","The Life I Lead, Next to Nothing",[37]
Kaushalya Bannerji,b. ?,Canadian,poet,A New Remembrance: Poems,[38]
Ann Bannon,b. 1932,American,novelist,Beebo Brinker,[9]
Porfirio Barba Jacob,1883–1942,Columbian,poet,"""Canción de la vida profunda"" (poem)",[8]
Djuna Barnes,1892–1982,American,novelist,"Ladies Almanack, Nightwood",[9]
Allen Barnett,1955-1991,American,short story writer,The Body and Its Dangers,[39]
Natalie Clifford Barney,1876–1972,American,"poet, memoirist",Quelques Portraits-Sonnets de Femmes,[9]
Richard Barnfield,1574–1627,English,poet,The Passionate Pilgrim,[9]
Damian Barr,b. 1976,British,"writer, columnist, playwright",Maggie & Me,[40]
Joelle Barron,,Canadian,poet,Ritual Lights,[41]
Roland Barthes,1915–1980,French,semiotician,What Is Literature?,[9]
John Barton,b. 1957,Canadian,poet,"West of Darkness: Emily Carr, self-portrait (2nd ed.)",[42]
Jean Basile,1932-1992,Canadian,"novelist, essayist","La Jument des mongols, Le Grand Khan, Les Voyages d'Irkoutsk",[43]
Jaime Bayly,b. 1965,Peruvian,"journalist, novelist",No se lo Digas a Nadie,[44]
