name,image
Evan Adams,https://upload.wikimedia.org/wikipedia/commons/1/17/File-Evan_Adams.jpg
Etel Adnan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Etel_Adnan%2C_2008_%28cropped%29.jpg/220px-Etel_Adnan%2C_2008_%28cropped%29.jpg
Francisco X. Alarcon,https://upload.wikimedia.org/wikipedia/commons/1/12/Francisco-X-Alarcon.jpg
Edward Albee,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/EdwardAlbee.jpg/220px-EdwardAlbee.jpg
Mohamed Abdulkarim Ali,NaN
Kimball Allen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Kimball_Allen%2C_playwright.jpg/220px-Kimball_Allen%2C_playwright.jpg
Paula Gunn Allen,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Paula_Gunn_Allen.jpg/220px-Paula_Gunn_Allen.jpg
Dorothy Allison,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Allison%2C_Dorothy_%28cropped%29.jpg/220px-Allison%2C_Dorothy_%28cropped%29.jpg
Anne-Marie Alonzo,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Anne-Marie_Alonzo.jpg/220px-Anne-Marie_Alonzo.jpg
Rebecca Alpert,NaN
Hilton Als,NaN
Noel Alumit,NaN
Debra Anderson,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Debra_Anderson_%28cropped%29.jpg/220px-Debra_Anderson_%28cropped%29.jpg
Patrick Anderson,NaN
Nuria Ano,https://upload.wikimedia.org/wikipedia/commons/5/56/N%C3%BAria_A%C3%B1%C3%B3_in_2009.jpg
Trey Anthony,NaN
Salvatore Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Salvatore_Antonio_at_the_CFC_ANNUAL_BBQ_2012_%287973555448%29.jpg/220px-Salvatore_Antonio_at_the_CFC_ANNUAL_BBQ_2012_%287973555448%29.jpg
Gloria Anzaldua,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Gloria_Anzaldua.jpg/220px-Gloria_Anzaldua.jpg
Bert Archer,NaN
Reinaldo Arenas,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Foto.reinaldo.jpg/220px-Foto.reinaldo.jpg
