Ind,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary
0,Will Aitken,None,American-Canadian,"novelist, film critic","Terre Haute, Realia",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/231,
1,Dorothy Allison,1949,American,novelist,Bastard Out of Carolina,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/52074,
7,Reinaldo Arenas,1943,Cuban,"poet, novelist and playwright",Before Night Falls,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/795,
8,Ellis Avery,1972,American,novelist,"The Teahouse Fire, The Last Nude",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/232731,
9,James Robert Baker,1946,American,novelist,"Boy Wonder, Tim and Pete",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/235776,
17,Djuna Barnes,1892,American,novelist,"Ladies Almanack, Nightwood",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/183496,
18,Jaime Bayly,1965,Peruvian,"journalist, novelist",No se lo Digas a Nadie,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2174705,
19,William Beckford,1760,English,"novelist, travel writer",Vathek,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/234905,
24,E. F. Benson,1867,English,novelist,Dodo,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/306888,
27,Elizabeth Bishop,1911,American,"poet, short story writer","North and South, Questions of Travel",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2392,
28,Marie-Claire Blais,1939,Canadian,"novelist, playwright","A Season in the Life of Emmanuel, Mad Shadows, Augustino and the Choir of Destruction",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2484,
29,Elizabeth Bowen,1899,Irish,novelist,Eva Trout,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2897,
30,Jane Bowles,1917,American,"novelist, playwright",Two Serious Ladies,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2144022,
31,Paul Bowles,1910,American,"novelist, poet, translator",The Sheltering Sky,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2121794,
36,Christopher Bram,1952,American,novelist,Father of Frankenstein,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230460,
37,Dionne Brand,1953,Canadian,"novelist, poet","Land to Light On, What We All Long For, Sans Souci",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/3068,
38,Poppy Z. Brite,1967,American,novelist,"Liquor, Prime, and Soul Kitchen",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/60570,
39,Rita Mae Brown,1944,American,novelist,Rubyfruit Jungle,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/3518,
40,John Horne Burns,1916,American,novelist,The Gallery,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/72509,
41,William S. Burroughs,1914,American,novelist,"Naked Lunch, Queer",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/3852,
42,William S. Burroughs. Jr.,1914,American,novelist,"Naked Lunch, Queer",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2245998,
43,Samuel Butler,1835,English,novelist,"Erewhon, The Way of All Flesh",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/3940,
50,Graham Chapman,1941,British,Screenwriter,A liar's Autobiography,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/4684,
54,John Cleland,1710,English,novelist,Fanny Hill,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/5121,
57,Colette Dowling,1873,French,novelist,Claudine series,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/7366,
58,Colette Bouchez,1873,French,novelist,Claudine series,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/43806,
59,Colette Soler,1873,French,novelist,Claudine series,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/87901,
60,Colette,1873,French,novelist,Claudine series,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111245,
62,Colette Whitaker,1873,French,novelist,Claudine series,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/184167,
