,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary,id,BookConnections
0,Will Aitken,None,American-Canadian,"novelist, film critic","Terre Haute, Realia",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/231,,0,
1,Dorothy Allison,1949,American,novelist,Bastard Out of Carolina,False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Allison%2C_Dorothy_%28cropped%29.jpg/220px-Allison%2C_Dorothy_%28cropped%29.jpg,,1,"0,1"
2,Reinaldo Arenas,1943,Cuban,"poet, novelist and playwright",Before Night Falls,False,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Foto.reinaldo.jpg/220px-Foto.reinaldo.jpg,,2,
3,Ellis Avery,1972,American,novelist,"The Teahouse Fire, The Last Nude",False,,,3,
4,James Robert Baker,1946,American,novelist,"Boy Wonder, Tim and Pete",False,https://upload.wikimedia.org/wikipedia/en/4/42/Bake08.jpg,,4,
5,Djuna Barnes,1892,American,novelist,"Ladies Almanack, Nightwood",False,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Djunabarnes.jpg/220px-Djunabarnes.jpg,,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
6,Jaime Bayly,1965,Peruvian,"journalist, novelist",No se lo Digas a Nadie,False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Bayly_Jaime_IMGP3054.JPG/200px-Bayly_Jaime_IMGP3054.JPG,,6,"19,20,21"
7,William Beckford,1760,English,"novelist, travel writer",Vathek,False,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/William_%28Thomas%29_Beckford.jpg/220px-William_%28Thomas%29_Beckford.jpg,,7,
8,E. F. Benson,1867,English,novelist,Dodo,False,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/E._F._Benson.jpg/220px-E._F._Benson.jpg,,8,22
9,Elizabeth Bishop,1911,American,"poet, short story writer","North and South, Questions of Travel",False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Elizabeth_Bishop%2C_1934_yearbook_portrait.jpg/220px-Elizabeth_Bishop%2C_1934_yearbook_portrait.jpg,,9,"23,24"
10,Marie-Claire Blais,1939,Canadian,"novelist, playwright","A Season in the Life of Emmanuel, Mad Shadows, Augustino and the Choir of Destruction",False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Marie-Claire_Blais_2010.jpg/225px-Marie-Claire_Blais_2010.jpg,,10,"25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48"
