Name,Lifetime,Nationality,Genre,Notable Works
Will Aitken,None,American-Canadian,"novelist, film critic","Terre Haute, Realia"
Dorothy Allison,1949,American,novelist,Bastard Out of Carolina
Lisa Alther,1944,American,novelist,Stormy Weather & Other Stories; Blood Feud: The Hatfields and the McCoys: The Epic Story of Murder and Vengeance; Washed in the Blood; Kinflicks: A Novel
Hilton Als,1960,American,"writer, theatre critic",White Girls
Noel Alumit,1968,Filipino-American,"playwright, novelist","Mr. and Mrs. La Questa Go Dancing, Letters to Montgomery Clift"
Gordon Stewart Anderson,1958,Canadian,novelist,The Toronto You Are Leaving
Debra Anderson,None,Canadian,"novelist, playwright",Code White
Albalucia Angel,1939,Colombian,folksinger and novelist,Girasoles en Invierno
Nuria Ano,1973,Spanish,novelist,Lowering Clouds
Reinaldo Arenas,1943,Cuban,"poet, novelist and playwright",Before Night Falls
Rafael Arevalo Martinez,1884,Guatemalan,"novelist, short-story writer, poet",Las rosas de Engaddi
Ellis Avery,1972,American,novelist,"The Teahouse Fire, The Last Nude"
Mette Bach,None,Canadian,"author, teacher, screenwriter, and director",Off the Highway
Sir Francis Bacon,1561,English,"essayist, novelist",The Advancement and Proficience of Learning Divine and Human (1605)
James Robert Baker,1946,American,novelist,"Boy Wonder, Tim and Pete"
John Roman Baker,1944,English,"poet, playwright, novelist",Crying Celibate Tears
James Baldwin,1924,American,"poet, playwright, novelist",Giovanni's Room
Honore de Balzac,1799,French,novelist,La Comedie humaine
Victor J. Banis,1937,American,novelist,The Man from C.A.M.P.
Keith Banner,None,American,"novelist, short stories","The Life I Lead, Next to Nothing"
Ann Bannon,1932,American,novelist,Beebo Brinker
Djuna Barnes,1892,American,novelist,"Ladies Almanack, Nightwood"
Allen Barnett,1955,American,short story writer,The Body and Its Dangers
Damian Barr,1976,British,"writer, columnist, playwright",Maggie & Me
Jean Basile,1932,Canadian,"novelist, essayist","La Jument des mongols, Le Grand Khan, Les Voyages d'Irkoutsk"
Jaime Bayly,1965,Peruvian,"journalist, novelist",No se lo Digas a Nadie
William Beckford,1760,English,"novelist, travel writer",Vathek
Aphra Behn,1640,English,"dramatist, poet and novelist",Oroonoko
Bruce Benderson,1946,American,"novelist, essayist",Autobiographie erotique
E. F. Benson,1867,English,novelist,Dodo
S. Bear Bergman,1974,American-Canadian,"author, poet, playwright, and theater artist",Butch Is A Noun
