,id,name,genres,publisher,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors,AuthorConnections,PublisherConnections
0,0,Bastard Out of Carolina,['Fiction'],Penguin,2005-09-06,336.0,https://play.google.com/store/books/details?id=vP-O7CeZET8C&rdid=book-vP-O7CeZET8C&rdot=1&source=gbs_api,9.99,4.0,68.0,NOT_MATURE,en,"A profound portrait of family dynamics in the rural South and “an essential novel” (The New Yorker) “As close to flawless as any reader could ask for . . . The living language [Allison] has created is as exact and innovative as the language of To Kill a Mockingbird and The Catcher in the Rye.” —The New York Times Book Review The publication of Dorothy Allison’s Bastard Out of Carolina was a landmark event that won the author a National Book Award nomination and launched her into the literary spotlight. Critics have likened Allison to Harper Lee, naming her the first writer of her generation to dramatize the lives and language of poor whites in the South. Since its appearance, the novel has inspired an award-winning film and has been banned from libraries and classrooms, championed by fans, and defended by critics. Greenville County, South Carolina, is a wild, lush place that is home to the Boatwright family—a tight-knit clan of rough-hewn, hard-drinking men who shoot up each other’s trucks, and indomitable women who get married young and age too quickly. At the heart of this story is Ruth Anne Boatwright, known simply as Bone, a bastard child who observes the world around her with a mercilessly keen perspective. When her stepfather Daddy Glen, “cold as death, mean as a snake,” becomes increasingly more vicious toward her, Bone finds herself caught in a family triangle that tests the loyalty of her mother, Anney—and leads to a final, harrowing encounter from which there can be no turning back.",http://books.google.com/books/content?id=vP-O7CeZET8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Dorothy Allison'],[1],[]
1,1,Two or Three Things I Know for Sure,['Biography & Autobiography'],Penguin,1996-08-01,112.0,https://play.google.com/store/books/details?id=xGDfLNLBHGcC&rdid=book-xGDfLNLBHGcC&rdot=1&source=gbs_api,11.99,4.0,8.0,NOT_MATURE,en,"Bastard Out of Carolina, nominated for the 1992 National Book Award for fiction, introduced Dorothy Allison as one of the most passionate and gifted writers of her generation. Now, in Two or Three Things I Know for Sure, she takes a probing look at her family's history to give us a lyrical, complex memoir that explores how the gossip of one generation can become legends for the next. Illustrated with photographs from the author's personal collection, Two or Three Things I Know for Sure tells the story of the Gibson women -- sisters, cousins, daughters, and aunts -- and the men who loved them, often abused them, and, nonetheless, shared their destinies. With luminous clarity, Allison explores how desire surprises and what power feels like to a young girl as she confronts abuse. As always, Dorothy Allison is provocative, confrontational, and brutally honest. Two or Three Things I Know for Sure, steeped in the hard-won wisdom of experience, expresses the strength of her unique vision with beauty and eloquence.",http://books.google.com/books/content?id=xGDfLNLBHGcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Dorothy Allison'],[1],[]
2,2,Nightwood,['Fiction'],New Directions Publishing,2006,182.0,,,2.0,1.0,MATURE,en,"Barnes' famous experimental novel tells of a young woman, Robin Vote, in 1920s Paris, who first marries the ""Baron"" Felix Volkbien, and later has love affairs with two women.",http://books.google.com/books/content?id=v6iZL5n5cLwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Djuna Barnes'],[5],[358]
3,3,Nightwood,['Fiction in English'],London : Faber,1950,239.0,,,2.5,19.0,NOT_MATURE,en,The fiery and enigmatic masterpiece-one of the greatest novels of the Modernist era.,,"['Djuna Barnes', 'Thomas Stearns Eliot']",[5],[]
4,4,Vivid and Repulsive as the Truth,['Literary Collections'],Courier Dover Publications,2016-08-17,272.0,,,,,NOT_MATURE,en,"The self-described ""most famous unknown author in the world,"" Djuna Barnes (1892 - 1982) is increasingly regarded as an important voice of feminism, modernism, and lesbian culture. Best remembered for her 1936 novel Nightwood, Barnes began her career by writing poetry, short stories, and articles for avant-garde literary journals as well as popular magazines. She took the grotesque nature of reality as her recurrent theme, a pessimistic world view frequently brightened by her sparkling wit. A longtime resident of Greenwich Village, Barnes drew inspiration from the bustling streets of Lower Manhattan, and this eclectic compilation of her early journalism, fiction, and poetry recaptures the vitality of her bohemian literary scene. The collection opens with articles ranging from an account of an evening at the Arcadia, a ""modern dance hall,"" to a firsthand report of the force-feeding endured by suffragettes in 1914. In addition to profiles of a postman, vaudeville performer, and other local personalities, Barnes interviews Lillian Russell and Alfred Stieglitz and describes an encounter with James Joyce. A dozen short stories follow, and the book concludes with a selection of compelling and sensual poetry, including verse from The Book of Repulsive Women. A selection of the author's original illustrations is included.",http://books.google.com/books/content?id=zLSoDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Djuna Barnes'],[5],[170]
5,5,Ladies Almanack,['Fiction'],Dalkey Archive Press,1992,91.0,,,,,NOT_MATURE,en,"""Now this be a Tale of as fine a Wench as ever wet Bed . . . Thus begins this Almanack, which all Ladies should carry about with them, as the Priest his Breviary, as the Cook his Recipes, as the Doctor his Physic, as the Bride her Fears, and as the Lion his Roar!""",http://books.google.com/books/content?id=O2HLJMQhULAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Djuna Barnes'],[5],[152]
6,6,The Lydia Steptoe Stories,['Fiction'],Faber & Faber,2019-01-03,48.0,https://play.google.com/store/books/details?id=Rr5_DwAAQBAJ&rdid=book-Rr5_DwAAQBAJ&rdot=1&source=gbs_api,2.99,4.0,1.0,NOT_MATURE,en,"'I have quite changed my mind. I am going to run away and become a boy.' In these three stories, written by Djuna Barnes under the pseudonym Lydia Steptoe, three characters find themselves on the brink of a sexual awakening - accompanied by guns, whips, and worldly innuendo. A fourteen-year-old girl plans to become 'a virago', until her mother intercepts her first tryst by dressing up as her male lover. A boy of the same age is lured into the forest by his father's mistress. A woman of forty falls in love and longs to kill herself, so unbearable is the return of the youth she thought she wanted. 'Alice', she tells herself, 'be a man.' Barnes makes gender and desire seem slippery and joyful - and makes the fictional Lydia Steptoe seem like a writer for our time.",http://books.google.com/books/content?id=Rr5_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Djuna Barnes'],[5],[]
7,7,Collected Poems,['Biography & Autobiography'],Univ of Wisconsin Press,2005,285.0,,,,,MATURE,en,"This collection of many unpublished works of American writer Djuna Barnes is accompanied by her autobiographical notes which describe the expatriate scene in Paris during the 1920s, including her interactions with James Joyce and Gertrude Stein and her intimate recollections of T.S. Eliot.",http://books.google.com/books/content?id=uem1fupBTMQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Djuna Barnes'],[5],[]
8,8,Nightwood,['Fiction'],New Directions Publishing Corporation,1961,170.0,,,2.5,19.0,MATURE,en,"The impassioned monologues of Doctor Dante O'Connor reveal the story of Robin Vote, a young American woman in interwar Paris, whose fate is the destruction of all who love her",http://books.google.com/books/content?id=yIyfymFMb_cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['Djuna Barnes', 'Thomas Stearns Eliot']",[5],[358]
9,9,New York,['Fiction'],Sun and Moon Press,1989,354.0,,,,,NOT_MATURE,en,Selection of pieces written for various publications between 1913 and 1919.,http://books.google.com/books/content?id=5z9aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
