id,name,genres,publisher,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors
0,Three Poems,['Poetry'],Open Road Media,2014-09-09,118.0,https://play.google.com/store/books/details?id=SCp5BAAAQBAJ&rdid=book-SCp5BAAAQBAJ&rdot=1&source=gbs_api,10.99,5.0,1.0,NOT_MATURE,en,"A provocative, challenging masterpiece by John Ashbery that set a new standard for the modern prose poem “The pathos and liveliness of ordinary human communication is poetry to me,” John Ashbery has said of this controversial work, a collection of three long prose poems originally published in 1972, adding, “Three Poems tries to stay close to the way we talk and think without expecting what we say to be recorded or remembered.” The effect of these prose poems is at once deeply familiar and startlingly new, something like encountering a collage made of lines clipped from every page of a beloved book—or, as Ashbery has also said of this work, like flipping through television channels and hearing an unwritten, unscriptable story told through unexpected combinations of voices, settings, and scenes. In Three Poems, Ashbery reframes prose poetry as an experience that invites the reader in through an infinite multitude of doorways, and reveals a common language made uncommonly real.",http://books.google.com/books/content?id=SCp5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
1,Other Traditions,['Poetry'],Harvard University Press,2000,167.0,,,,,NOT_MATURE,en,"John Ashbery explores the work of six writers whose poetry he turns to when requiring a 'poetic jump-start'. This book covers the work of less familiar writers such as John Clare and David Schubert, offering both an analysis of their writings as well as giving insights into Ashbery's own.",http://books.google.com/books/content?id=-XFNaQwH-RQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
2,Shadow Train,['Poetry'],Open Road Media,2014-09-09,50.0,https://play.google.com/store/books/details?id=2Cl5BAAAQBAJ&rdid=book-2Cl5BAAAQBAJ&rdot=1&source=gbs_api,17.99,,,NOT_MATURE,en,"A captivating experiment in traditional poetic form, from one of the most untraditional American poets ever to set pen to paper At first glance, John Ashbery’s Shadow Train seems to embrace the constraints of traditional poetic form—but closer reading reveals that this work is Ashbery at his revolutionary best. In fifty poems, each consisting solely of four connected quatrains, Ashbery apparently plays by the rules while simultaneously violating every single one. Over and over again, the familiar, almost sonnet-like sixteen-line form creates an outline of a poem within which, one would expect, poetry is meant to arrive—as a station waits for a train. And yet, as with many of the world’s greatest poems, the act of creating poetry also relies on the reading and the reader—in other words, as this collection’s signature poem “Paradoxes and Oxymorons” puts it, “the poem is / you.” In Shadow Train, Ashbery demonstrates how language influences our experience of reality, creating it and sustaining it while also remaining mysterious and ineffable: constantly arriving, but impossible to catch.",http://books.google.com/books/content?id=2Cl5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
3,A Wave,['Poetry'],Open Road Media,2014-09-09,89.0,https://play.google.com/store/books/details?id=1Sh5BAAAQBAJ&rdid=book-1Sh5BAAAQBAJ&rdot=1&source=gbs_api,10.99,,,NOT_MATURE,en,"One of Ashbery’s most acclaimed and beloved collections since Self-Portrait in a Convex Mirror, filled with his signature wit and generous intelligence The poems in John Ashbery’s award-winning 1984 collection A Wave address the impermanence of language, the nature of mortality, and the fluidity of consciousness—matters of life and death that in other hands might run the risk of sentimentality. For John Ashbery, however, these considerations provide an opportunity to display his prodigious poetic gifts: the unerring ear for our evolving modern language and its ever-expanding universe of meanings, the fierce eye trained on glimmers underwater, and the wry humor that runs through observations both surprising and familiar. As the poem “The Path to the White Moon” has it, “We know what is coming, that we are moving / Dangerously and gracefully / Toward the resolution of time / Blurred but alive with many separate meanings / Inside this conversation.” The long title poem of A Wave, which closes the book, is considered one of Ashbery’s most distinguished works, praised by critic Helen Vendler for its “genius for a free and accurate American rendition of very elusive inner feelings, and especially for transitive states between feelings.” Winner of both the Lenore Marshall Poetry Prize and the Bollingen Prize, this book is one to be read, reread, and remembered.",http://books.google.com/books/content?id=1Sh5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
4,Reported Sightings,['Art'],,1991,417.0,,,,,NOT_MATURE,en,"America's great poet and art critic, John Ashbery, presents some of his most provocative essays on art. Ashbery has long been one of America's most important art critics--first for the Paris Herald Tribune and later for New York and Newsweek. Illustrated.",http://books.google.com/books/content?id=Hj5DPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['John Ashbery', 'David Bergman']"
5,Three Plays,"['Drama in English - American writers, 1945- - Texts']",Carcanet Press,1988,160.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=PMwfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['John Ashbery']
6,Three Poems,['Poetry'],Open Road Media,2014-09-09,118.0,https://play.google.com/store/books/details?id=SCp5BAAAQBAJ&rdid=book-SCp5BAAAQBAJ&rdot=1&source=gbs_api,10.99,5.0,1.0,NOT_MATURE,en,"A provocative, challenging masterpiece by John Ashbery that set a new standard for the modern prose poem “The pathos and liveliness of ordinary human communication is poetry to me,” John Ashbery has said of this controversial work, a collection of three long prose poems originally published in 1972, adding, “Three Poems tries to stay close to the way we talk and think without expecting what we say to be recorded or remembered.” The effect of these prose poems is at once deeply familiar and startlingly new, something like encountering a collage made of lines clipped from every page of a beloved book—or, as Ashbery has also said of this work, like flipping through television channels and hearing an unwritten, unscriptable story told through unexpected combinations of voices, settings, and scenes. In Three Poems, Ashbery reframes prose poetry as an experience that invites the reader in through an infinite multitude of doorways, and reveals a common language made uncommonly real.",http://books.google.com/books/content?id=SCp5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
7,Other Traditions,['Poetry'],Harvard University Press,2000,167.0,,,,,NOT_MATURE,en,"John Ashbery explores the work of six writers whose poetry he turns to when requiring a 'poetic jump-start'. This book covers the work of less familiar writers such as John Clare and David Schubert, offering both an analysis of their writings as well as giving insights into Ashbery's own.",http://books.google.com/books/content?id=-XFNaQwH-RQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
8,Shadow Train,['Poetry'],Open Road Media,2014-09-09,50.0,https://play.google.com/store/books/details?id=2Cl5BAAAQBAJ&rdid=book-2Cl5BAAAQBAJ&rdot=1&source=gbs_api,17.99,,,NOT_MATURE,en,"A captivating experiment in traditional poetic form, from one of the most untraditional American poets ever to set pen to paper At first glance, John Ashbery’s Shadow Train seems to embrace the constraints of traditional poetic form—but closer reading reveals that this work is Ashbery at his revolutionary best. In fifty poems, each consisting solely of four connected quatrains, Ashbery apparently plays by the rules while simultaneously violating every single one. Over and over again, the familiar, almost sonnet-like sixteen-line form creates an outline of a poem within which, one would expect, poetry is meant to arrive—as a station waits for a train. And yet, as with many of the world’s greatest poems, the act of creating poetry also relies on the reading and the reader—in other words, as this collection’s signature poem “Paradoxes and Oxymorons” puts it, “the poem is / you.” In Shadow Train, Ashbery demonstrates how language influences our experience of reality, creating it and sustaining it while also remaining mysterious and ineffable: constantly arriving, but impossible to catch.",http://books.google.com/books/content?id=2Cl5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
9,A Wave,['Poetry'],Open Road Media,2014-09-09,89.0,https://play.google.com/store/books/details?id=1Sh5BAAAQBAJ&rdid=book-1Sh5BAAAQBAJ&rdot=1&source=gbs_api,10.99,,,NOT_MATURE,en,"One of Ashbery’s most acclaimed and beloved collections since Self-Portrait in a Convex Mirror, filled with his signature wit and generous intelligence The poems in John Ashbery’s award-winning 1984 collection A Wave address the impermanence of language, the nature of mortality, and the fluidity of consciousness—matters of life and death that in other hands might run the risk of sentimentality. For John Ashbery, however, these considerations provide an opportunity to display his prodigious poetic gifts: the unerring ear for our evolving modern language and its ever-expanding universe of meanings, the fierce eye trained on glimmers underwater, and the wry humor that runs through observations both surprising and familiar. As the poem “The Path to the White Moon” has it, “We know what is coming, that we are moving / Dangerously and gracefully / Toward the resolution of time / Blurred but alive with many separate meanings / Inside this conversation.” The long title poem of A Wave, which closes the book, is considered one of Ashbery’s most distinguished works, praised by critic Helen Vendler for its “genius for a free and accurate American rendition of very elusive inner feelings, and especially for transitive states between feelings.” Winner of both the Lenore Marshall Poetry Prize and the Bollingen Prize, this book is one to be read, reread, and remembered.",http://books.google.com/books/content?id=1Sh5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
10,Reported Sightings,['Art'],,1991,417.0,,,,,NOT_MATURE,en,"America's great poet and art critic, John Ashbery, presents some of his most provocative essays on art. Ashbery has long been one of America's most important art critics--first for the Paris Herald Tribune and later for New York and Newsweek. Illustrated.",http://books.google.com/books/content?id=Hj5DPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['John Ashbery', 'David Bergman']"
11,Three Plays,"['Drama in English - American writers, 1945- - Texts']",Carcanet Press,1988,160.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=PMwfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['John Ashbery']
12,Three Poems,['Poetry'],Open Road Media,2014-09-09,118.0,https://play.google.com/store/books/details?id=SCp5BAAAQBAJ&rdid=book-SCp5BAAAQBAJ&rdot=1&source=gbs_api,10.99,5.0,1.0,NOT_MATURE,en,"A provocative, challenging masterpiece by John Ashbery that set a new standard for the modern prose poem “The pathos and liveliness of ordinary human communication is poetry to me,” John Ashbery has said of this controversial work, a collection of three long prose poems originally published in 1972, adding, “Three Poems tries to stay close to the way we talk and think without expecting what we say to be recorded or remembered.” The effect of these prose poems is at once deeply familiar and startlingly new, something like encountering a collage made of lines clipped from every page of a beloved book—or, as Ashbery has also said of this work, like flipping through television channels and hearing an unwritten, unscriptable story told through unexpected combinations of voices, settings, and scenes. In Three Poems, Ashbery reframes prose poetry as an experience that invites the reader in through an infinite multitude of doorways, and reveals a common language made uncommonly real.",http://books.google.com/books/content?id=SCp5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
13,Other Traditions,['Poetry'],Harvard University Press,2000,167.0,,,,,NOT_MATURE,en,"John Ashbery explores the work of six writers whose poetry he turns to when requiring a 'poetic jump-start'. This book covers the work of less familiar writers such as John Clare and David Schubert, offering both an analysis of their writings as well as giving insights into Ashbery's own.",http://books.google.com/books/content?id=-XFNaQwH-RQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['John Ashbery']
