Name
Will Aitken
Dorothy Allison
Lisa Alther
Hilton Als
Noel Alumit
Gordon Stewart Anderson
Debra Anderson
Albalucía Angel
Núria Añó
Reinaldo Arenas
Rafael Arévalo Martínez
Ellis Avery
Mette Bach
Sir Francis Bacon
James Robert Baker
John Roman Baker
James Baldwin
Honoré de Balzac
Victor J. Banis
Keith Banner
Ann Bannon
Djuna Barnes
Allen Barnett
Damian Barr
Jean Basile
Jaime Bayly
William Beckford
Aphra Behn
Bruce Benderson
E. F. Benson
S. Bear Bergman
Leonard Bernstein
Mattilda Bernstein Sycamore
Tess Berry-Hart
José Bianco
Anthony Bidulka
Aristide von Bienefeldt
Imogen Binnie
Elizabeth Bishop
Persimmon Blackbridge
Marie-Claire Blais
Gregory Bonsignore
Elizabeth Bowen
Jane Bowles
Paul Bowles
John Boyne
Lawrence Ytzhak Braithwaite
Christopher Bram
Dionne Brand
Poppy Z. Brite
Lynn Breedlove
Carellin Brooks
Brigid Brophy
Nicole Brossard
Rebecca Brown
Rita Mae Brown
Nathan Burgoine
John Horne Burns
William S. Burroughs
Aldo Busi
Samuel Butler
Anne Cameron
Truman Capote
Pat Capponi
Joseph Cassara
Clint Catalyst
Willa Cather
Jessie Chandler
Graham Chapman
John Cheever
Wayson Choy
Hélène Cixous
John Cleland
Jean Cocteau
Christopher Coe
Colette
Joey Comeau
Ivy Compton-Burnett
Carmen Conde Abellán
Timothy Conigrave
Bernard Cooper
Dennis Cooper
Copi (pseudonym of Raúl Damonte)
Rick Copp
Steven Corbin
Marie Corelli
Carl Corley
Douglas Coupland
Dani Couture
Daniel Allen Cox
Ivan Coyote
Caleb Crain
Countee Cullen
Michael Cunningham
Jameson Currier
Jean-Paul Daoust
Christopher Davis
Amber Dawn
Samuel R. Delany
A. M. Dellamonica
David Demchuk
Joel Derfner
Augusto D'Halmar
Thomas Disch
Farzana Doctor
Nisa Donnelly
Emma Donoghue
José Donoso
John Donovan
Norman Douglas
Neal Drinnan
Daphne du Maurier
Peter Dubé
Maureen Duffy
Stella Duffy
