name,bio
1517 Media,"1517 Media, formerly Augsburg Fortress Press, is the official publishing house of the  (ELCA), also publishing for the  (ELCIC) as Augsburg Fortress Canada. Headquartered on South Fifth Street in , Minnesota, in the former headquarters of the , Augsburg Fortress publishes  (founded 1831, named The Lutheran until 2016), the  (1978), the Lutheran Study Bible, and  (2006), as well as a range of academic, reference and educational books. Tim Blevins has served as the CEO of 1517 Media since August, 2018. Beth Lewis served as the  of Augsburg Fortress since September 3, 2002.
"
Evangelical Lutheran Church in America,"
"
37 INK,"37 INK is an American publisher launched in 2013 focusing on a diverse list including  authors. It is an imprint of .
"
Atria,"Atria Publishing Group is a general interest publisher and a division of . The publishing group launched as Atria Books in 2002. The Atria Publishing Group was later created internally at Simon & Schuster to house a number of imprints including Atria Books, Atria Trade Paperbacks, Atrai Books Espanol, Atria Unbound, Washington Square Press, Emily Bestler Books, Atria/Beyond Words, Cash Money Content, Howard Books, Marble Arch Press, Strebor Books, 37 Ink, Keywords Press and Enliven Books. Atria is also known for creating innovative imprints and co-publishing deals with African-American writers as well as known for experimenting with digital or non-traditional print formats and authors.
"
A & C Black,"
"
Bloomsbury Publishing,"
"
A. C. McClurg,"A. C. McClurg was a stationer, publisher, and book wholesaler for over 120 years in .  The business began in 1844, as Chicago's first  store and changed hands several times, often as the result of a fire.  Alexander McClurg came into management of the business at the time of the  (1871) and established an interest in fine literature, which was pursued by the company until late in the first decade of the 20th century.  While pursuing interests in fine English literature and the literary magazine, , perhaps one of the most historically important books published by McClurg's  ""Rare Books"" section was '  (1903).
"
A. S. Barnes & Co.,"Alfred Smith Barnes (January 28, 1817 – February 17, 1888) was an American publisher and philanthropist.  He was known as ""the General"".
"
Alfred Smith Barnes,"Alfred Smith Barnes (January 28, 1817 – February 17, 1888) was an American publisher and philanthropist.  He was known as ""the General"".
"
Abilene Christian University Press,"Abilene Christian University Press, also known as ACU Press, is an -based  that is connected with . Since being formed it has released or acquired 456 titles and as of 2013 the press releases, on average, thirty-six titles per year. The press is a member of the . The press publishes works in the areas of ""Christianity and Literature;  ; History and  of the ;  and Culture.""  is an imprint of ACU Press.
"
Ablex Publishing,"Ablex Publishing Corporation is a privately held  and  publisher in , , USA. It was previously located in , and also at one time in  and .  Ablex publishes edited volumes, , , and , focused on communication, education, , psychology, and technology. In 1997, Ablex became an affiliate company of JAI Press, a  of , the world's largest publisher of medical and scientific literature.
"
Elsevier,"
"
Abrams Books,"Abrams, formerly Harry N. Abrams, Inc. (HNA), is an American publisher of art and , , and stationery.
"
Academic Press,"Academic Press is an    founded in 1941. It was acquired by  in 1969.  bought Harcourt in 2000, and Academic Press is now an  of .
"
Elsevier,"
"
Ace Books,"
"
Penguin Group,"
"
Addison-Wesley,"Addison-Wesley is an American publisher of textbooks and computer literature. It is an  of , a global publishing and education company. In addition to publishing books, Addison-Wesley also distributes its technical titles through the  e-reference service. Addison-Wesley's majority of sales derive from the United States (55%) and  (22%).
"
Pearson Education,"
"
Adis International,"Springer Science+Business Media, commonly known as Springer, is a German multinational  company of books,  and peer-reviewed journals in science, humanities, technical and medical (STM) publishing.
"
Wolters Kluwer,"
"
Airiti Press,"Airiti Incorporation (: 華藝數位) headquartered in , , is a Chinese e-content provider of Chinese , Taiwanese , classical art images to more than 450  in 2006 and has extended to more than 72,000 libraries in 112 countries and territories around the world.
"
Airiti Inc,"Airiti Incorporation (: 華藝數位) headquartered in , , is a Chinese e-content provider of Chinese , Taiwanese , classical art images to more than 450  in 2006 and has extended to more than 72,000 libraries in 112 countries and territories around the world.
"
Akashic Books,"Akashic Books is a -based independent publisher. Akashic Books' collection began with 's The Fuck Up  in 1997, and has since expanded to include 's ""Little House on the Bowery"" series, 's Black Goat poetry series, and the internationally successful ""Noir"" series, originating with Brooklyn Noir, since expanding to international titles such as ""Delhi Noir"" and ""Havana Noir.""
"
Aladdin Paperbacks,"
"
imprint,"An imprint of a  is a  under which it publishes a work. A single  may have multiple imprints, often using the different names as  to  works to various  .
"
Simon & Schuster,"
"
Alfred A. Knopf,"Alfred A. Knopf, Inc. () is an American publishing house that was founded by  and  in 1915. Blanche and Alfred traveled abroad regularly and were known for publishing European, Asian, and Latin American writers in addition to leading American literary trends. It was acquired by  in 1960, and is now part of the Knopf Doubleday Publishing Group division of  which is owned by the German conglomerate . The Knopf publishing house is associated with its  , which was designed by co-founder  in 1925.
"
Allen & Unwin,"
"
Allison & Busby,"Allison & Busby (A & B) is a  based  in  established by Clive Allison and  in 1967.  The company has built up a reputation as a leading .
"
Alma Books,"Alma Books is a publishing house based in , founded in 2005 by Alessandro Gallenzi and Elisabetta Minervini, the founders of . It publishes mainly fiction, both by authors from the English-speaking world and in translation from languages such as French, German, Italian, Russian, Spanish and Japanese.
"
Alyson Books,"
"
American Graphics Institute,"American Graphics Institute (AGI) is a certified company that provides publishing, consulting and technical training. The institute also writes and publishes books about, business strategy and design technology.
"
André Deutsch,"
"
Carlton Publishing Group,"Welbeck Publishing Group, formerly Carlton Publishing Group, is a London-based independent book publisher of fiction, narrative and illustrated non-fiction, as well as gift and children's books. Established in 2019 by Executive Directors Mark Smith and Marcus Leaver, the business specialises in commercial publishing in 30 languages and in more than 60 countries around the world, across all genres and categories.
"
Andrews McMeel Publishing,"Hugh T. Andrews (Owner)
"
Anova Books,"Pavilion Books Holdings Ltd is an English  based in London.
"
Pavilion Books,"Pavilion Books Holdings Ltd is an English  based in London.
"
Antenne Books,"Antenne Books is a distributor of independent art publishers.
"
Anvil Press Poetry,"Anvil Press Poetry is an independent poetry publisher based in , south-east . It was founded in 1968 by Peter Jay and specialises in contemporary  poets, with a leavening of  and , and in a range of translated poetry, from ancient classics to modern and contemporary poets.
"
Applewood Books,"Applewood Books is a publishing company which specializes in reissuing original versions of historical books, founded by Phil Zuckerman in 1976.
"
Apress,"Apress Media LLC is a publisher of  books, based in . It is a division of .
"
Arbor House,"Arbor House was an independent  founded by Donald Fine in 1969. Specializing in hard cover publications, Arbor House published works by , , ,  and  before being acquired by the  in 1979 to move into paperback publishing. Arbor House became an  of  in 1988.
"
Arbordale Publishing,"Arbordale Publishing is an independent  company located in .
"
