name,bio
1517 Media,"1517 Media, formerly Augsburg Fortress Press, is the official publishing house of the Evangelical Lutheran Church in America (ELCA), also publishing for the Evangelical Lutheran Church in Canada (ELCIC) as Augsburg Fortress Canada. Headquartered on South Fifth Street in Minneapolis, Minnesota, in the former headquarters of the American Lutheran Church, Augsburg Fortress publishes Living Lutheran (founded 1831, named The Lutheran until 2016), the Lutheran Book of Worship (1978), the Lutheran Study Bible, and Evangelical Lutheran Worship (2006), as well as a range of academic, reference and educational books. Tim Blevins has served as the CEO of 1517 Media since August, 2018. Beth Lewis served as the CEO of Augsburg Fortress since September 3, 2002.[4]
"
Evangelical Lutheran Church in America,"
"
37 INK,"37 INK is an American publisher launched in 2013 focusing on a diverse list including African American authors. It is an imprint of Simon & Schuster.
"
Atria,"Atria Publishing Group is a general interest publisher and a division of Simon & Schuster. The publishing group launched as Atria Books in 2002. The Atria Publishing Group was later created internally at Simon & Schuster to house a number of imprints including Atria Books, Atria Trade Paperbacks, Atrai Books Espanol, Atria Unbound, Washington Square Press, Emily Bestler Books, Atria/Beyond Words, Cash Money Content, Howard Books, Marble Arch Press, Strebor Books, 37 Ink, Keywords Press and Enliven Books.[1] Atria is also known for creating innovative imprints and co-publishing deals with African-American writers as well as known for experimenting with digital or non-traditional print formats and authors.
"
A & C Black,"
"
Bloomsbury Publishing,"
"
A. C. McClurg,"A. C. McClurg was a stationer, publisher, and book wholesaler for over 120 years in Chicago, Illinois.  The business began in 1844, as Chicago's first stationery store and changed hands several times, often as the result of a fire.  Alexander McClurg came into management of the business at the time of the Great Chicago Fire (1871) and established an interest in fine literature, which was pursued by the company until late in the first decade of the 20th century.  While pursuing interests in fine English literature and the literary magazine, The Dial, perhaps one of the most historically important books published by McClurg's  ""Rare Books"" section was W. E. B. Du Bois' The Souls of Black Folk (1903).[1]
"
A. S. Barnes & Co.,"Alfred Smith Barnes (January 28, 1817 – February 17, 1888)[1] was an American publisher and philanthropist.  He was known as ""the General"".[2]
"
Alfred Smith Barnes,"Alfred Smith Barnes (January 28, 1817 – February 17, 1888)[1] was an American publisher and philanthropist.  He was known as ""the General"".[2]
"
Abilene Christian University Press,"Abilene Christian University Press, also known as ACU Press, is an Abilene, Texas-based university press that is connected with Abilene Christian University.[1] Since being formed it has released or acquired 456 titles and as of 2013[update] the press releases, on average, thirty-six titles per year. The press is a member of the Association of American University Presses. The press publishes works in the areas of ""Christianity and Literature; Faith-Based Higher Education; History and Theology of the Stone-Campbell Movement; Texas History and Culture.""[2] Leafwood Publishers is an imprint of ACU Press.
"
Ablex Publishing,"Ablex Publishing Corporation is a privately held book publisher and academic journal publisher in New York City, New York, USA. It was previously located in Norwood, New Jersey, and also at one time in Westport and Stamford, Connecticut.[1]  Ablex publishes edited volumes, monographs, research journals, and textbooks, focused on communication, education, library science, psychology, and technology.[2] In 1997, Ablex became an affiliate company of JAI Press, a subsidiary of Elsevier Science,[3] the world's largest publisher of medical and scientific literature.
"
Elsevier,"
"
Abrams Books,"Abrams, formerly Harry N. Abrams, Inc. (HNA), is an American publisher of art and illustrated books, children's books, and stationery.
"
Academic Press,"Academic Press is an academic book publisher founded in 1941. It was acquired by Harcourt, Brace & World in 1969.[2] Reed Elsevier bought Harcourt in 2000, and Academic Press is now an imprint of Elsevier.
"
Elsevier,"
"
Ace Books,"
"
Penguin Group,"
"
Addison-Wesley,"Addison-Wesley is an American publisher of textbooks and computer literature. It is an imprint of Pearson PLC, a global publishing and education company. In addition to publishing books, Addison-Wesley also distributes its technical titles through the Safari Books Online e-reference service. Addison-Wesley's majority of sales derive from the United States (55%) and Europe (22%).[1]
"
Pearson Education,"
"
Adis International,"Springer Science+Business Media, commonly known as Springer, is a German multinational publishing company of books, e-books and peer-reviewed journals in science, humanities, technical and medical (STM) publishing.[1]
"
Wolters Kluwer,"
"
Airiti Press,"Airiti Incorporation (Chinese: 華藝數位) headquartered in Taipei, Taiwan, is a Chinese e-content provider of Chinese academic e-journals, Taiwanese academic e-journals, classical art images to more than 450 libraries in 2006 and has extended to more than 72,000 libraries in 112 countries and territories around the world.
"
Airiti Inc,"Airiti Incorporation (Chinese: 華藝數位) headquartered in Taipei, Taiwan, is a Chinese e-content provider of Chinese academic e-journals, Taiwanese academic e-journals, classical art images to more than 450 libraries in 2006 and has extended to more than 72,000 libraries in 112 countries and territories around the world.
"
Akashic Books,"Akashic Books is a Brooklyn-based independent publisher. Akashic Books' collection began with Arthur Nersesian's The Fuck Up [3] in 1997, and has since expanded to include Dennis Cooper's ""Little House on the Bowery"" series,[4] Chris Abani's Black Goat poetry series,[5] and the internationally successful ""Noir"" series,[6][7] originating with Brooklyn Noir,[8] since expanding to international titles such as ""Delhi Noir"" and ""Havana Noir.""
"
Aladdin Paperbacks,"
"
