,name,image,origin,publication_types,founded,parent_comp,hq,website
0,1517 Media,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Augsburg_Fortress_logo.png/200px-Augsburg_Fortress_logo.png,United States,Books,1988,Evangelical Lutheran Church in America,Minneapolis,www.1517.media
1,Evangelical Lutheran Church in America,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/ELCA_Brandmark_Stacked.png/200px-ELCA_Brandmark_Stacked.png,Unknown,Unknown,Unknown,Unkown,Unknown,www.elca.org
2,37 INK,-1,United States,Books,2013,Simon & Schuster,New York City,37 INK
3,Atria,https://upload.wikimedia.org/wikipedia/en/3/32/Atria_logo.png,United States,Books,2002,Simon & Schuster,Simon & Schuster Building,www.simonandschusterpublishing.com/atria/
4,A & C Black,-1,United Kingdom,Books,1807; 214 years ago (1807),Bloomsbury Publishing,London,www.acblack.com
5,Bloomsbury Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Bloomsbury-publishing-logo.PNG/250px-Bloomsbury-publishing-logo.PNG,United Kingdom,books,26 September 1986; 35 years ago (1986-09-26),Unkown,London,www.bloomsbury.com
6,Abilene Christian University Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/ACU_Press_Current_Logo.jpg/220px-ACU_Press_Current_Logo.jpg,Unknown,Books,1984,Abilene Christian University,"Abilene, Texas",www.acupressbooks.com
7,Ablex Publishing,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
8,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available
9,Abrams Books,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Abrams_Logo.svg/220px-Abrams_Logo.svg.png,United States,Books,"November 3, 1949; 71 years ago (1949-11-03)",La Martinière,New York City,www.abramsbooks.com
10,Academic Press,-1,United States,Unknown,1941,Elsevier,"Cambridge, Massachusetts",www.elsevier.com/books-and-journals/academic-press
11,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available
12,Ace Books,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Ace-books-logo.png/220px-Ace-books-logo.png,United States,Books,1952; 69 years ago (1952),Berkley Books,New York City,www.penguin.com
13,Penguin Group,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Penguin_Publishing_Group_logo.png/220px-Penguin_Publishing_Group_logo.png,Unknown,Unknown,1935; 86 years ago (1935)(as Penguin Books),Unkown,Unknown,Not available
14,Addison-Wesley,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Addison_Wesley_Logo.svg/220px-Addison_Wesley_Logo.svg.png,United States,Textbooks,1942; 79 years ago (1942),Pearson Education,Boston,www.savvas.com
15,Pearson Education,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Pearson_logo.svg/220px-Pearson_logo.svg.png,United Kingdom,Textbooks,1844; 177 years ago (1844),Pearson plc,London,pearsoned.com
16,Adis International,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com
17,Wolters Kluwer,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Wolters_Kluwer_logo.svg/220px-Wolters_Kluwer_logo.svg.png,Unknown,Unknown,1968; 53 years ago (1968),Unkown,Unknown,Not available
