name,bio
Caio Fernando Abreu,"Caio Fernando Loureiro de Abreu (September 12, 1948 – February 25, 1996), best known as Caio Fernando Abreu, was one of the most influential and original Brazilian writers of the 1970s and 1980s.[1] Caio F., as he habitually signed his letters,[2] was born in Santiago do Boqueirão in the state of Rio Grande do Sul in 1948, and died in Porto Alegre in 1996.
"
Barry D. Adam,"Barry Douglas Adam (born 1952 in Yorkton, Saskatchewan) is Distinguished University Professor Emeritus of Sociology at the University of Windsor and from 2008 to 2019, Senior Scientist at the Ontario HIV Treatment Network  in Toronto. Educated at Simon Fraser University (BAHon 1972) and the University of Toronto (PhD 1977), he is the author of: The Survival of Domination,[1] The Rise of a Gay and Lesbian Movement (1978, revised 1995),[2] and with Alan Sears, Experiencing HIV.[3] He later co-edited The Global Emergence of Gay and Lesbian Politics (1999).[4] He has an extensive research record on the dynamics of domination and empowerment, LGBT studies, HIV prevention, and issues of living with HIV and AIDS,[5] and was a co-founder of the AIDS Committee of Windsor, Ontario.[6]
"
Evan Adams,"Evan Tlesla Adams (born November 15, 1966) is an Indigenous Canadian actor, playwright, and physician. A Coast Salish from the Sliammon First Nation near Powell River, British Columbia, he is best known internationally for his roles in the films of Sherman Alexie, as Thomas Builds-the-Fire in the 1998 film Smoke Signals and Seymour Polatkin in the 2002 film The Business of Fancydancing.
"
Nathan Niigan Noodin Adler,"Nathan Niigan Noodin Adler, sometimes credited as Nathan Adler, is a Canadian writer of horror fiction.[1] He is most noted for his 2020 short story collection Ghost Lake, which was the winner in the English fiction category at the 2021 Indigenous Voices Awards.[2]
"
Etel Adnan,"Etel Adnan (Arabic: إيتيل عدنان‎; born 24 February 1925 in Beirut, French Lebanon) is a Lebanese-American poet, essayist, and visual artist. In 2003, Adnan was named ""arguably the most celebrated and accomplished Arab American author writing today"" by the academic journal MELUS: Multi-Ethnic Literature of the United States.[1]
"
Will Aitken,"Will Aitken is an American-Canadian novelist, journalist and film critic.[1][2] Originally from Terre Haute, Indiana, he has been based in Montreal, Quebec since moving to that city to attend McGill University in 1972.
"
Magaly Alabau,"Magali Alabau (born 1945) is a Cuban-American poet, theater director, and actor. Born in Cienfuegos, Cuba, she has lived in New York since 1966. She co-founded the Spanish-English ensemble Teatro Dúo/Duo Theatre with Manuel Martín, Jr. and the lesbian theater Medusa's Revenge with Ana María Simo. She began writing poetry after retiring from theater, and published eight books between 1986 and 2015.
"
Francisco X. Alarcón,"Francisco Xavier Alarcón (21 February 1954 – 15 January 2016) was a Chicano poet and educator. He was one of the few Chicano poets to have ""gained recognition while writing mostly in Spanish"" within the United States.[1] His poems have been also translated into Irish and Swedish.[2] He made many guest appearances at public schools so that he could help inspire and influence young people to write their own poetry[2] especially because he felt that children are ""natural poets.""[3]
"
Edward Albee,"
"
Mohamed Abdulkarim Ali,"Mohamed Abdulkarim Ali is a Somali-Canadian writer.[1][2][3]  Ali wrote his first book, a memoir, Angry Queer Somali Boy, while living in a shelter for homeless men in Toronto.[4]
"
Sandra Alland,"Sandra Alland is a Glasgow-based Scottish-Canadian writer, interdisciplinary artist, small press publisher, performer,[1] filmmaker, and curator. Alland's work focuses on social justice, language, humour, and experimental forms.
"
Kimball Allen,"Kimball Allen (born February 22, 1982)[1] is an American writer, journalist, playwright, and actor. He is the author of two autobiographical one-man plays: Secrets of a Gay Mormon Felon (2012) and Be Happy Be Mormon (2014). The latter premiered at Theatre Row in Manhattan on September 24 and 27, 2014, as part of the United Solo Theatre Festival. From 2015–2017 he hosted the recurring Triple Threat w/ Kimball Allen, a 90-minute variety talk show at The Triple Door in Seattle.
"
Paula Gunn Allen,"Paula Gunn Allen (October 24, 1939 – May 29, 2008) was a Native American poet, literary critic, activist,[1] professor, and novelist. Of mixed-race European-American, Native American, and Arab-American descent, she identified with her mother's people, the Laguna Pueblo[2] and childhood years. She drew from its oral traditions for her fiction poetry and also wrote numerous essays on its themes. She edited four collections of Native American traditional stories and contemporary works and wrote two biographies of Native American women.
"
Dorothy Allison,"Dorothy Allison (born April 11, 1949) is an American writer from South Carolina whose writing focuses on class struggle, sexual abuse, child abuse, feminism and lesbianism.[1] She is a self-identified lesbian femme.[2] Allison has won a number of awards for her writing, including several Lambda Literary Awards. In 2014, Allison was elected to membership in the Fellowship of Southern Writers.[3]
"
Anne-Marie Alonzo,"Anne-Marie Alonzo, CM (December 13, 1951 – June 11, 2005) was a Canadian playwright, poet, novelist, critic and publisher.
"
Lisa Alther,"
Lisa Alther (born July 23, 1944) is an American author and novelist.[1][2]
"
Rebecca Alpert,"Rabbi Rebecca Trachtenberg Alpert (born April 12, 1950) is an American professor of Jewish American religious history, and was one of the first congregational women rabbis. Her chief speciality is sexuality in Judaism, and she says that her beliefs were transformed by a Sabbath prayer book (Siddur Nashim) that refers to God as 'She'.
"
Hilton Als,"Hilton Als (born 1960) is an American writer and theater critic. He is an associate professor of writing at Columbia University[1] and a staff writer and theater critic for The New Yorker magazine.[2] He is a former staff writer for The Village Voice and former editor-at-large at Vibe magazine.
"
