name,image,origin,publication_types,founded,parent_comp,hq,website
Abaddon Books,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Abaddon_Books.png/220px-Abaddon_Books.png,United Kingdom,Unknown,August 2006,Rebellion,Oxford,www.abaddonbooks.com
Academic Press,-1,United States,Unknown,1941,Elsevier,"Cambridge, Massachusetts",www.elsevier.com/books-and-journals/academic-press
Adlard Coles Nautical,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Adlard_Coles_logo.png/220px-Adlard_Coles_logo.png,United Kingdom,Unknown,1947,Bloomsbury Publishing Plc,London,Adlard Coles Nautical
Allen & Unwin,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Allen_%26_Unwin_logo.svg/220px-Allen_%26_Unwin_logo.svg.png,Australia,Books,1914 (British arm)  1976 (Australia),Unkown,"Crows Nest, New South Wales",allenandunwin.com
Allison & Busby,-1,England,Books,1967; 54 years ago (1967),Unkown,London,www.allisonandbusby.com
Alma Books,-1,United Kingdom,Books,2005,Unkown,London,www.almabooks.com
And Other Stories,-1,United Kingdom,Books,2009,Unkown,Sheffield,www.andotherstories.org
Andersen Press,https://upload.wikimedia.org/wikipedia/en/1/17/Andersenpresslogo.png,United Kingdom,Books,1976; 45 years ago (1976),Unkown,London,www.andersenpress.com
Angry Robot,-1,United Kingdom,books,2008,Watkins Media,Nottingham,www.angryrobotbooks.com
Arc Publications,https://upload.wikimedia.org/wikipedia/en/a/a4/Arc_Publications_logo.gif,United Kingdom,Poetry,1969,Unkown,"Todmorden, Lancashire",www.arcpublications.co.uk
Artech House,-1,United States,"Books, software",1974,Horizon House Publications,"Norwood, Massachusetts",www.artechhouse.com
Ashgate Publishing,-1,United Kingdom,Books,1967,Unkown,Farnham,www.ashgate.com
Atlantic Books,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Atlantic_Books_logo.jpg/200px-Atlantic_Books_logo.jpg,United Kingdom,Books,February 2000,Unkown,London,http://www.atlantic-books.co.uk
