name,bio
Books by publishing company of the United Kingdom,NaN
Book publishing companies of Northern Ireland,NaN
British speculative fiction publishers,NaN
Comic book publishing companies of the United Kingdom,NaN
List of largest book publishers of the United Kingdom,"
This is a list of largest UK trade book publishers, with some of their principal imprints, ranked by sales value, according to Nielsen BookScan:[1]

"
List of UK children's book publishers,"List of UK children's book publishers.
"
Abaddon Books,"
"
Academic Press,"Academic Press is an academic book publisher founded in 1941. It was acquired by Harcourt, Brace & World in 1969.[2] Reed Elsevier bought Harcourt in 2000, and Academic Press is now an imprint of Elsevier.
"
Adlard Coles Nautical,"Adlard Coles Nautical is a nautical publisher,[1] with over 300 books in print. The company publishes books on topics of interest to sailors and motorboaters and also ‘landlubbers’ with an interest in the sea. Their list includes almanacs, cruising guides, pilot books and how-to instruction books, as well as large format photographic books, sailing narratives and sea-related reference, maritime history, humour and trivia books.[2]
"
Allen & Unwin,"
"
Allison & Busby,"Allison & Busby (A & B) is a publishing house based  in London established by Clive Allison and Margaret Busby in 1967.[3][4][5]  The company has built up a reputation as a leading independent publisher.[6]
"
Alma Books,"Alma Books is a publishing house based in Richmond, London, founded in 2005 by Alessandro Gallenzi and Elisabetta Minervini, the founders of Hesperus Press. It publishes mainly fiction, both by authors from the English-speaking world and in translation from languages such as French, German, Italian, Russian, Spanish and Japanese.[2]
"
And Other Stories,"
"
Andersen Press,"Andersen Press is a British book publishing company. It was founded in 1976 by Klaus Flugge, and was named after Hans Christian Andersen ""because it is easier to pronounce and spell than Flugge"".[1] Random House has a holding in the company and a strong association with Andersen.[2][3]
"
Andromache Books,"Andromache Books is a United Kingdom based, independent, not-for-profit publishing firm, run as a writers' cooperative by the writers themselves. It was founded in 2008 by authors Grace Andreacchi and Elisabeth Serafimovski in London. Andromache Books specialises in literary fiction and poetry, with a particular interest in postmodern and experimental literature. Authors to date include Grace Andreacchi, Mikael Covey, Mark Edwards, Gabriel Olearnik and artist Alexandra Rozenman.
"
Angry Robot,"Angry Robot Books is a British-based publishing house dedicated to producing modern adult science fiction and fantasy, or as they call it “SF, F and WTF?!?”. The Nottingham-based company first released books in the UK in 2009, and since September 2010 has simultaneously been publishing its titles in the US as well, as a distributed client of Random House. All titles are released as paperbacks and eBooks.
"
Arc Publications,"Arc Publications, also known as Arc, is an independent publishing house in the UK, publishing contemporary poetry from new and established writers from the UK and abroad, specialising in the work of international poets writing in English and the work of overseas poets in translation.
"
Arkana Publishing,"Arkana Publishing (or Penguin Arkana or just Arkana) is a publishing imprint of Penguin Group of mainly esoteric literature.
"
Armada Books,"Armada Books was a British publishing imprint used to publish paperback titles from 1962 until 1995.[1] Created by Gordon Landsborough as the paperback imprint of May Fair Books Ltd, Armada Books focused exclusively on books for children to buy with their pocket money. Armada was sold in 1966 and eventually ended up in the hands of Collins, who used it to publish books for 10- to 15-year-olds under their Fontana Books paperback arm until 1992.
"
J. W. Arrowsmith Ltd,"J. W. Arrowsmith Ltd was a book printer and publisher based in Bristol, England.[1] It became a limited company in 1911, having been an unincorporated company named Arrowsmith. It was closed in 2006.
"
Artech House,"Artech House (a.k.a. Artech House Publishers[1]) is a publisher of professional scientific and engineering books.[2] It located in London, United Kingdom and Norwood, Massachusetts, United States.
"
