Parent company,235
Founded,508
Country of origin,439
Headquarters location,443
Distribution,247
Publication types,353
Imprints,171
Official website,427
Evangelical Lutheran Church in America,1
Classification,1
Orientation,1
Polity,1
Presiding bishop,1
Associations,1
Region,1
Headquarters,71
Origin,1
Merger of,1
Separations,1
Congregations,1
Members,1
Missionaries,1
Founder,318
Nonfiction topics,110
Traded as,10
Key people,165
Revenue,83
Industry,43
Products,44
Operating income,13
Net income,14
Number of employees,34
Parent,29
Website,68
Fiction genres,76
No. of employees,51
Owner(s),37
Type,44
Traded as,14
Chinese name,2
Traditional Chinese,2
Simplified Chinese,2
Transcriptions,2
Founders,42
Area served,25
Services,9
Owner,19
CBE,1
Born,5
Died,4
Occupation,5
Predecessor,23
Status,105
Defunct,18
Successor,35
Author,1
Subject,1
Genre,6
Publisher,2
Publication date,1
Pages,1
Fate,15
Number of locations,16
John Blake,1
Established,2
Endowment,2
President,2
Provost,2
Rector,1
Academic staff,2
Administrative staff,1
Students,2
Postgraduates,2
Doctoral students,1
Location,10
Campus,2
Colors,2
City Lights Bookstore,1
General information,1
Coordinates,2
,1
San Francisco Designated Landmark,1
Designated,1
Reference no.,1
"
",2
Donald A. Wollheim,1
Pen name,1
Period,1
Spouse,1
Children,1
Formerly,4
Divisions,9
Subsidiaries,12
ISIN,4
Total assets,7
Total equity,7
Founded:,1
Country of origin:,1
Headquarters:,1
Logistics:,1
Publication types:,1
Type of company:,1
Official website:,1
Type of site,1
No. of locations,1
Founder(s),1
URL,1
Launched,1
Gelett Burgess,1
Nationality,1
Literary movement,1
Notable works,1
Formation,7
Director,1
Revenue (2018) ,1
Expenses (2018),1
Editor,1
Categories,1
Frequency,1
First issue,1
Final issue,1
Country,1
ISSN,1
Predecessors,1
Legal status,1
Focus,1
Area served ,2
Method,3
Members  ,1
Native name,3
Romanized,1
Purpose,1
Product,1
International president,1
U.S. president,1
Abbreviation,5
Nickname,1
Founded at,1
Region served ,2
Membership (2017) ,1
Superior General,1
Motto,3
Parent organization,1
Built,1
Architect,1
Architectural style,1
Part of,1
Added to NRHP,1
Reed Publishing,1
Membership  ,1
Official language ,1
President-Elect,1
Budget  ,1
Budget,1
Chairman,1
Chancellor,1
Vice-Chancellor,1
Undergraduates,1
Agency overview,1
Formed,1
Jurisdiction,1
Employees,1
Annual budget,1
Agency executive,1
Parent agency,1
Footnotes,1
Spiritual Director,1
Andrew D. Chumbley,1
